,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(41k Reviews),Public,"Mumbai,Maharashtra + 238 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(27.4k Reviews),Public,"Dublin,Dublin + 132 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(24.8k Reviews),Private,"Teaneck,New Jersey + 88 more",28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(31.7k Reviews),Public,"Mumbai,Maharashtra + 987 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(23.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 252 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(32.7k Reviews),Public,"Mumbai,Maharashtra + 1102 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(20.1k Reviews),Public,Paris + 69 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(19.8k Reviews),Public,"Noida,Uttar Pradesh + 158 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(23.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 116 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.7,(18.4k Reviews),Public,"Pune,Maharashtra + 181 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(18.5k Reviews),Private,"New York,New York + 58 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(16.8k Reviews),Public,"Mumbai,Maharashtra + 991 more",29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(13.7k Reviews),Public,"Armonk,New York + 107 more",111 years old,1 Lakh+ Employees (India)
13,Concentrix Corpo...,4.1,(13.2k Reviews),Public,"Fremont,California + 61 more",39 years old,10k-50k Employees (India)
14,Larsen & Toubro ...,4.0,(17.3k Reviews),Public,"Mumbai,Maharashtra + 489 more",84 years old,10k-50k Employees (India)
15,Amazon,4.2,(13.1k Reviews),Private,"Seattle,Washington + 324 more",28 years old,1 Lakh+ Employees (India)
16,Reliance jio,4.0,(12.9k Reviews),Public,"Navi Mumbai,Maharashtra + 898 more",15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(12.8k Reviews),Public,"Gandhinagar,Gujrat + 547 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(11.6k Reviews),Private,"Ahmedabad,Gujrat + 700 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(9.1k Reviews),Private,Paris + 112 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.1k Reviews),Public,"Mumbai,Maharashtra + 455 more",19 years old,10k-50k Employees (India)
21,Reliance Industr...,4.1,(36.1k Reviews),Public,"Navi Mumbai,Maharashtra + 409 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(11.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 465 more",27 years old,5k-10k Employees (India)
23,Tata Motors,4.1,(8.2k Reviews),Public,"Pune,Maharashtra + 372 more",77 years old,50k-1 Lakh Employees (India)
24,Deloitte,4.0,(8k Reviews),Private,"New York,New York + 134 more",177 years old,10k-50k Employees (India)
25,Reliance Retail,4.1,(12.2k Reviews),Private,"Navi Mumbai,Maharashtra + 509 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(18.7k Reviews),Public,"Mumbai,Maharashtra + 385 more",77 years old,10k-50k Employees (India)
27,IndusInd Bank,3.8,(6.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 533 more",28 years old,10k-50k Employees (India)
28,WNS,3.7,(6k Reviews),Private,"Mumbai,Maharashtra + 20 more",26 years old,10k-50k Employees (India)
29,DXC Technology,3.9,(6.1k Reviews),Public,"Minato,Tokyo + 55 more",31 years old,10k-50k Employees (India)
30,Hinduja Global S...,4.0,(5.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 73 more",22 years old,1k-5k Employees (India)
31,Flipkart,4.2,(9.6k Reviews),Private,"Bangalore,Karnataka + 380 more",15 years old,10k-50k Employees (India)
32,Maruti Suzuki,4.1,(5.3k Reviews),Public,"New Delhi,Delhi + 362 more",39 years old,10k-50k Employees (India)
33,Samsung,4.1,(7.5k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 409 more",84 years old,50k-1 Lakh Employees (India)
34,Ernst & Young,3.8,(5.1k Reviews),Private,London + 68 more,20 years old,50k-1 Lakh Employees (India)
35,Infosys BPM,4.0,(5.1k Reviews),"Bangalore/Bengaluru,Karnataka + 43 more",20 years old,10k-50k Employees (India),
36,HSBC,4.1,(5.2k Reviews),Private,"Pune,Maharashtra + 53 more",20 years old,10k-50k Employees (India)
37,Ericsson,4.3,(4.9k Reviews),Private,"Stockholm,Stockholm County + 126 more",146 years old,10k-50k Employees (India)
38,Bajaj Finserv,4.2,(12.1k Reviews),Public,"Pune,Maharashtra + 606 more",15 years old,10k-50k Employees (India)
39,Conneqt Business...,3.8,(4.4k Reviews),"Mumbai,Maharashtra + 143 more",20 years old,10k-50k Employees (India),
40,Dr. Reddy's,4.2,(4.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 125 more",36 years old,10k-50k Employees (India)
41,BYJU'S,3.7,(8.5k Reviews),Private,"Bangalore,Karnataka + 141 more",11 years old,1k-5k Employees (India)
42,Startek,3.5,(4.4k Reviews),"Mumbai,Maharashtra + 50 more",5 years old,5k-10k Employees (India),
43,IDFC FIRST Bank,4.0,(4.4k Reviews),Public,"Mumbai,Maharashtra + 339 more",4 years old,10k-50k Employees (India)
44,Jana Small Finan...,3.9,(4.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 299 more",16 years old,10k-50k Employees (India)
45,Sutherland Globa...,3.9,(4.6k Reviews),Private,"Pittsford,New York + 38 more",36 years old,10k-50k Employees (India)
46,Cipla Pharmaceut...,4.1,(4.2k Reviews),Public,"Mumbai,Maharashtra + 179 more",87 years old,10k-50k Employees (India)
47,Mphasis,3.8,(4.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 41 more",22 years old,1k-5k Employees (India)
48,ICICI Prudential...,4.1,(4.1k Reviews),Public,"Mumbai,Maharashtra + 392 more",22 years old,10k-50k Employees (India)
49,Yes Bank,4.0,(4k Reviews),Public,"Mumbai,Maharashtra + 331 more",18 years old,10k-50k Employees (India)
50,Bajaj Allianz Li...,4.2,(4.1k Reviews),Private,Pune + 417 more,21 years old,10k-50k Employees (India)
51,Asian Paints,4.3,(4.5k Reviews),Public,"Mumbai,Maharashtra + 313 more",80 years old,10k-50k Employees (India)
52,Lupin,4.2,(3.9k Reviews),Public,"Mumbai,Maharashtra + 124 more",54 years old,10k-50k Employees (India)
53,NTT DATA,4.1,(7.5k Reviews),Private,"Chiyoda City,Tokyo + 36 more",34 years old,10k-50k Employees (India)
54,Indian Army,4.7,(3.9k Reviews),"New Delhi,Delhi + 260 more",127 years old,1 Lakh+ Employees (India),
55,HDFC LIFE,4.1,(3.7k Reviews),"Mumbai,Maharashtra + 376 more",22 years old,10k-50k Employees (India),
56,Home Credit Fina...,4.2,(3.7k Reviews),Private,Gurugram + 97 more,10 years old,10k-50k Employees (India)
57,EXL Service,3.9,(4.6k Reviews),Private,"New York City,New York + 31 more",23 years old,10k-50k Employees (India)
58,Udaan,4.2,(3.6k Reviews),Private,"Bangalore,Karnataka + 287 more",6 years old,10k-50k Employees (India)
59,Bajaj Finance,4.2,(3.5k Reviews),Private,"Pune,Maharashtra + 569 more",35 years old,1k-5k Employees (India)
60,Zydus Cadila,4.1,(4.5k Reviews),Public,"Ahmedabad, India + 128 more",70 years old,10k-50k Employees (India)
61,L&T Infotech,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
62,Hindustan Unilev...,4.3,(5.5k Reviews),Public,"Mumbai,Maharashtra + 330 more",89 years old,10k-50k Employees (India)
63,Hewlett-Packard ...,4.3,(4.8k Reviews),Private,"Houston,Texas + 83 more",83 years old,10k-50k Employees (India)
64,ITC,3.9,(6.7k Reviews),Public,"Kolkata,West Bengal + 208 more",47 years old,10k-50k Employees (India)
65,OPPO,4.0,(3.5k Reviews),Public,"Dongguan,Guangdong + 303 more",18 years old,10k-50k Employees (India)
66,Ujjivan Small Fi...,4.1,(3.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 366 more",5 years old,10k-50k Employees (India)
67,PwC,3.8,(3.3k Reviews),Partnership,London + 58 more,24 years old,5k-10k Employees (India)
68,UltraTech Cement,4.3,(3.6k Reviews),Public,"Mumbai,Maharashtra + 311 more",39 years old,10k-50k Employees (India)
69,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
70,Paytm,3.7,(4k Reviews),Private,Noida + 217 more,12 years old,10k-50k Employees (India)
71,Shapoorji Pallon...,4.4,(4.9k Reviews),Private,"Mumbai,Maharashtra + 130 more",157 years old,1k-5k Employees (India)
72,IIFL,3.9,(3.2k Reviews),Public,"Mumbai,Maharashtra + 411 more",27 years old,5k-10k Employees (India)
73,Ashok Leyland,4.1,(3.8k Reviews),Public,"Chennai,Tamil Nadu + 179 more",74 years old,10k-50k Employees (India)
74,Mahindra & Mahin...,4.3,(3.2k Reviews),Public,"Mumbai,Maharashtra + 526 more",31 years old,10k-50k Employees (India)
75,Shriram Transpor...,4.2,(4.9k Reviews),Public,"Mumbai,Maharashtra + 616 more",43 years old,10k-50k Employees (India)
76,Sun Pharmaceutic...,4.1,(3.6k Reviews),Public,Mumbai + 135 more,39 years old,10k-50k Employees (India)
77,Reliance Communi...,4.0,(3.5k Reviews),Public,"Navi Mumbai,Maharashtra + 361 more",20 years old,10k-50k Employees (India)
78,Vivo,4.1,(3.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 304 more",13 years old,5k-10k Employees (India)
79,Apollo Hospitals,4.1,(4.8k Reviews),Public,"San Francisco,California + 157 more",39 years old,50k-1 Lakh Employees (India)
80,Aurobindo Pharma,4.1,(3.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 46 more",36 years old,1k-5k Employees (India)
81,KPMG,3.8,(3.1k Reviews),Partnership,"Amstelveen,North Holland + 50 more",35 years old,10k-50k Employees (India)
82,Future Group,4.2,(9.7k Reviews),Private,"Mumbai,Maharashtra + 189 more",9 years old,50k-1 Lakh Employees (India)
83,Mindtree,4.1,(3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 23 more",23 years old,10k-50k Employees (India)
84,JP Morgan Chase,4.2,(3k Reviews),Private,"New York,New York + 19 more",22 years old,10k-50k Employees (India)
85,Nokia,4.4,(3.1k Reviews),Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India)
86,Siemens,4.2,(3k Reviews),Public,"Munich,Bavaria + 99 more",30 years old,10k-50k Employees (India)
87,Fidelity Nationa...,4.1,(3k Reviews),Private,"Jacksonville,Florida + 30 more",17 years old,10k-50k Employees (India)
88,Wipro BPS,3.8,(2.8k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),
89,eClerx,3.6,(2.8k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
90,Wells Fargo Indi...,4.2,(2.8k Reviews),Private,"San Francisco,California + 11 more",24 years old,10k-50k Employees (India)
91,Bandhan Bank,4.0,(3k Reviews),Public,"Kolkata,West Bengal + 484 more",21 years old,10k-50k Employees (India)
92,Oyo Rooms,3.6,(3k Reviews),Private,"Gurgaon,Haryana + 100 more",9 years old,1k-5k Employees (India)
93,Max Life Insuran...,4.2,(2.8k Reviews),"Gurgaon/Gurugram,Haryana + 257 more",22 years old,10k-50k Employees (India),
94,TVS Motor,4.1,(3k Reviews),Public,"Chennai,Tamil Nadu + 225 more",43 years old,5k-10k Employees (India)
95,AU Small Finance...,4.1,(3.6k Reviews),Private,"Jaipur,Rajasthan + 271 more",26 years old,10k-50k Employees (India)
96,Cyient,3.7,(2.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
97,JLL,4.3,(2.7k Reviews),Private,"Mumbai,Maharashtra + 57 more",25 years old,10k-50k Employees (India)
98,Tata Projects,4.2,(2.7k Reviews),Public,"Mumbai,Maharashtra + 183 more",43 years old,5k-10k Employees (India)
99,Oracle,3.9,(3.4k Reviews),Public,"Austin,Texas + 28 more",45 years old,10k-50k Employees (India)
100,Delhivery,4.2,(2.7k Reviews),Private,"Delhi,NCT + 408 more",11 years old,10k-50k Employees (India)
101,Hero MotoCorp,4.3,(2.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 254 more",38 years old,5k-10k Employees (India)
102,First Source,3.9,(2.6k Reviews),Public,"Mumbai,Maharashtra + 45 more",21 years old,5k-10k Employees (India)
103,Hyundai Motor,4.1,(3.5k Reviews),Private,Seoul + 218 more,55 years old,5k-10k Employees (India)
104,JSW Steel,3.9,(4k Reviews),Public,"Mumbai,Maharashtra + 86 more",40 years old,10k-50k Employees (India)
105,Atos Syntel,3.8,(4.2k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
106,Bosch,4.3,(3.4k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 81 more",136 years old,10k-50k Employees (India)
107,JustDial,3.6,(2.6k Reviews),Public,"Mumbai,Maharashtra + 118 more",26 years old,10k-50k Employees (India)
108,TATA Steel,4.1,(4k Reviews),Public,"Mumbai,Maharashtra + 116 more",115 years old,10k-50k Employees (India)
109,Hexaware Technol...,3.7,(2.6k Reviews),Public,"Mumbai,Maharashtra + 28 more",32 years old,10k-50k Employees (India)
110,Godrej & Boyce M...,3.9,(2.4k Reviews),Private,"Mumbai,Maharashtra + 118 more",125 years old,10k-50k Employees (India)
111,Dell,4.2,(3.4k Reviews),Private,"Round Rock,Texas + 83 more",38 years old,50k-1 Lakh Employees (India)
112,Viatris,4.3,(2.4k Reviews),"Canonsburg,Pennsylvania + 60 more",61 years old,1k-5k Employees (India),
113,iEnergizer,3.5,(2.4k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
114,Megha Engineerin...,4.2,(2.3k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 173 more",33 years old,1k-5k Employees (India)
115,BNY Mellon,4.2,(2.3k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India)
116,UnitedHealth,4.2,(4k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
117,Aditya Birla Fas...,4.3,(2.7k Reviews),Private,Mumbai + 185 more,7 years old,10k-50k Employees (India)
118,Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 264 more",11 years old,1k-5k Employees (India)
119,Fullerton India,4.2,(2.3k Reviews),Private,Mumbai + 373 more,15 years old,10k-50k Employees (India)
120,Omega Healthcare,3.8,(2.3k Reviews),Private,Florida + 24 more,18 years old,1k-5k Employees (India)
121,SBI Cards & Paym...,3.8,(2.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 218 more",24 years old,5k-10k Employees (India)
122,Quess,3.9,(7.1k Reviews),Public,Bangalore + 281 more,15 years old,10k-50k Employees (India)
123,Wipro Consumer ...,3.8,(2.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 69 more",77 years old,1k-5k Employees (India)
124,Dominos Pizza,4.1,(2.2k Reviews),Public,"Ypsilanti,Michigan + 194 more",62 years old,1k-5k Employees (India)
125,Manappuram Finan...,4.0,(2.9k Reviews),Public,"Thrissur/Trichur,Kerala + 345 more",73 years old,10k-50k Employees (India)
126,Cgi Group,4.2,(2.3k Reviews),Private,"Montreal,Quebec + 13 more",31 years old,10k-50k Employees (India)
127,Nagarjuna Constr...,4.2,(2.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 163 more",24 years old,1k-5k Employees (India)
128,IQVIA,4.2,(2.2k Reviews),Partnership,"Durham,North Carolina + 39 more",40 years old,10k-50k Employees (India)
129,Royal Enfield,4.2,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 218 more",67 years old,5k-10k Employees (India)
130,JBM Group,4.1,(2.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 71 more",39 years old,1k-5k Employees (India)
131,D Mart,3.9,(2.1k Reviews),Private,"Mumbai,Maharashtra + 139 more",22 years old,5k-10k Employees (India)
132,CBRE,4.3,(2.1k Reviews),Private,"Los Angeles,California + 48 more",116 years old,10k-50k Employees (India)
133,State Bank of In...,3.9,(2.1k Reviews),"Mumbai,Maharashtra + 310 more",216 years old,1 Lakh+ Employees (India),
134,L&T Construction,4.0,(2.3k Reviews),Public,Chennai + 230 more,78 years old,10k-50k Employees (India)
135,Tata Communicati...,4.2,(2.8k Reviews),Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
136,ICICI Lombard Ge...,3.8,(2.1k Reviews),Public,"Mumbai,Maharashtra + 188 more",21 years old,5k-10k Employees (India)
137,Muthoot Fincorp,4.0,(2.1k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 390 more",135 years old,10k-50k Employees (India)
138,Equitas Small Fi...,4.1,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 271 more",15 years old,1k-5k Employees (India)
139,Flex,4.1,(2.1k Reviews),Private,San Jose + 35 more,53 years old,10k-50k Employees (India)
140,Motherson Sumi S...,3.9,(3.3k Reviews),Public,"Noida,Uttar Pradesh + 59 more",36 years old,1k-5k Employees (India)
141,LG Electronics,4.0,(2.1k Reviews),Public,"Seoul,Seoul + 176 more",64 years old,5k-10k Employees (India)
142,Amdocs,4.1,(2k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India)
143,Sodexo,4.1,(2.2k Reviews),Private,Issy Les Moulineaux + 104 more,14 years old,10k-50k Employees (India)
144,L&T Financial Se...,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 363 more",28 years old,10k-50k Employees (India)
145,John Deere,4.4,(2.2k Reviews),Private,"Moline,Illinois + 89 more",21 years old,1k-5k Employees (India)
146,Ford Motor,4.6,(2.3k Reviews),Public,"Dearborn,Michigan + 97 more",119 years old,5k-10k Employees (India)
147,Hetero Drugs,4.0,(2.3k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 30 more",29 years old,1k-5k Employees (India)
148,UST,4.1,(2.2k Reviews),Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India)
149,Alembic Pharmace...,4.1,(2k Reviews),Public,"Vadodara/Baroda,Gujrat + 116 more",115 years old,5k-10k Employees (India)
150,Bosch Global Sof...,4.2,(2k Reviews),Private,Gerlingen + 17 more,32 years old,10k-50k Employees (India)
151,Abbott Healthcar...,4.1,(3.3k Reviews),Public,"Illinois City,Illinois + 134 more",31 years old,10k-50k Employees (India)
152,Ecom Express,4.3,(2k Reviews),Private,"Gurgaon,Haryana + 434 more",10 years old,10k-50k Employees (India)
153,Muthoot Group,3.6,(4.2k Reviews),Public,"Wedel,Schleswig-holstein + 313 more",135 years old,1k-5k Employees (India)
154,Bajaj Auto,4.1,(5.4k Reviews),Public,"Pune,Maharashtra + 190 more",77 years old,201-500 Employees (India)
155,Whitehat jr,3.9,(2k Reviews),"Mumbai,Maharashtra + 44 more",4 years old,5k-10k Employees (India),
156,Simplex Infrastr...,3.7,(2.1k Reviews),Public,"Kolkata,West Bengal + 118 more",98 years old,1k-5k Employees (India)
157,Wipro Enterprise...,3.8,(2k Reviews),Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),
158,SBI Life Insuran...,3.8,(2k Reviews),Public,"Mumbai,Maharashtra + 393 more",21 years old,10k-50k Employees (India)
159,Hindustan Coca C...,4.4,(2k Reviews),Private,Bangalore + 163 more,25 years old,1k-5k Employees (India)
160,Subros,4.0,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 31 more",37 years old,1k-5k Employees (India)
161,Arvind Group,4.1,(2.2k Reviews),Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
162,Cholamandalam In...,4.3,(1.9k Reviews),Private,"Chennai,Tamil Nadu + 445 more",44 years old,1k-5k Employees (India)
163,KEC Internationa...,4.2,(1.9k Reviews),Public,"Mumbai,Maharashtra + 187 more",77 years old,5k-10k Employees (India)
164,Gati kwe,4.1,(1.9k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India)
165,Indiamart Interm...,3.8,(1.9k Reviews),Private,"Noida,Uttar Pradesh + 92 more",26 years old,10k-50k Employees (India)
166,Schneider Electr...,4.2,(3.5k Reviews),Private,Paris + 61 more,23 years old,10k-50k Employees (India)
167,Thermax,4.3,(2.1k Reviews),Public,"Pune,Maharashtra + 112 more",42 years old,1k-5k Employees (India)
168,BigBasket,4.2,(1.9k Reviews),Private,"Bangalore,Karnataka + 67 more",11 years old,5k-10k Employees (India)
169,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
170,Intas Pharmaceut...,4.3,(1.9k Reviews),Private,"Ahmedabad,Gujrat + 91 more",22 years old,5k-10k Employees (India)
171,GlobalLogic,4.0,(1.9k Reviews),Private,"San Jose,California + 21 more",22 years old,5k-10k Employees (India)
172,NatWest Group,4.1,(1.9k Reviews),Chennai + 17 more,10k-50k Employees (India),,
173,Indian Air Force,4.6,(1.8k Reviews),Private,"New Delhi,Delhi + 96 more",90 years old,1 Lakh+ Employees (India)
174,VE Commercial Ve...,4.1,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 100 more",14 years old,1k-5k Employees (India)
175,Varun Beverages,4.0,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 177 more",27 years old,5k-10k Employees (India)
176,Suzlon Group,4.2,(1.8k Reviews),Public,"Pune,Maharashtra + 79 more",27 years old,5k-10k Employees (India)
177,McDonald's,4.3,(1.8k Reviews),Private,"Chicago,Illinois + 112 more",67 years old,5k-10k Employees (India)
178,Muthoot Finance,3.6,(1.8k Reviews),"Kochi/Cochin,Kerala + 360 more",83 years old,10k-50k Employees (India),
179,Atos,3.8,(6k Reviews),Private,"Vilnius,Vilniaus Apskritis + 29 more",25 years old,10k-50k Employees (India)
180,Cummins,4.4,(1.8k Reviews),"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),
181,CMS IT Services,3.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 110 more",8 years old,5k-10k Employees (India)
182,DTDC Express,4.0,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 183 more",32 years old,1k-5k Employees (India)
183,Lava Internation...,4.2,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 199 more",13 years old,1k-5k Employees (India)
184,Glenmark Pharmac...,4.2,(1.8k Reviews),Public,"Mumbai,Maharashtra + 101 more",45 years old,5k-10k Employees (India)
185,Macleods Pharmac...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 71 more",36 years old,5k-10k Employees (India)
186,ABB Group,4.1,(1.8k Reviews),Public,Zurich + 84 more,21 years old,5k-10k Employees (India)
187,Bel,4.2,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 28 more",68 years old,5k-10k Employees (India)
188,American Express,4.4,(1.9k Reviews),Private,"New York City,New York + 34 more",172 years old,10k-50k Employees (India)
189,Alkem Laboratori...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 112 more",49 years old,10k-50k Employees (India)
190,Honda Motorcycle...,4.2,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 154 more",23 years old,5k-10k Employees (India)
191,Reliance Nippon ...,3.9,(1.7k Reviews),Private,"Mumbai,Maharashtra + 367 more",22 years old,10k-50k Employees (India)
192,Tata Teleservice...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 153 more",26 years old,201-500 Employees (India)
193,Deutsche Bank,4.2,(1.7k Reviews),Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
194,Virtusa Consulti...,3.8,(1.7k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
195,Pidilite Industr...,4.4,(1.8k Reviews),Public,"Mumbai,Maharashtra + 161 more",63 years old,5k-10k Employees (India)
196,Havells,4.2,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 115 more",39 years old,5k-10k Employees (India)
197,Ipca Laboratorie...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 95 more",73 years old,5k-10k Employees (India)
198,Standard Charter...,4.2,(4k Reviews),Private,London + 56 more,53 years old,5k-10k Employees (India)
199,Randstad,4.2,(1.7k Reviews),Private,"Chennai,Tamil Nadu + 189 more",30 years old,1k-5k Employees (India)
200,Swiggy,4.2,(1.7k Reviews),Private,"Bangalore,Karnataka + 121 more",8 years old,1k-5k Employees (India)
201,Bajaj Electrical...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 158 more",84 years old,5k-10k Employees (India)
202,DCB Bank,3.9,(1.7k Reviews),Private,"Mumbai,Maharashtra + 223 more",92 years old,5k-10k Employees (India)
203,Indian Oil Corpo...,4.4,(1.9k Reviews),Private,"Delhi/NCR,Delhi + 166 more",63 years old,10k-50k Employees (India)
204,Titan Company,4.4,(1.7k Reviews),Public,"Mumbai,Maharashtra + 115 more",4 years old,5k-10k Employees (India)
205,Future Retail,4.3,(4.2k Reviews),Public,"San Francisco,California + 180 more",35 years old,10k-50k Employees (India)
206,Optum,4.1,(1.7k Reviews),Private,"Noida,Uttar Pradesh + 19 more",13 years old,1k-5k Employees (India)
207,State Street Syn...,3.8,(1.6k Reviews),Private,Mumbai + 11 more,18 years old,501-1k Employees (India)
208,Tractors and Far...,4.2,(1.6k Reviews),Public,"Chennai,Tamil Nadu + 128 more",62 years old,5k-10k Employees (India)
209,PepsiCo,4.1,(1.7k Reviews),Private,"Harrison,New York + 192 more",33 years old,1 Lakh+ Employees (India)
210,Hindalco Industr...,4.3,(1.6k Reviews),Public,"Mumbai,Maharashtra + 61 more",64 years old,10k-50k Employees (India)
211,24/7 Customer,3.7,(1.6k Reviews),Private,"San Jose,California + 17 more",22 years old,5k-10k Employees (India)
212,Huawei Technolog...,3.8,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 85 more",20 years old,1k-5k Employees (India)
213,Jindal Steel and...,4.0,(1.9k Reviews),Private,"Delhi/NCR,New Delhi + 84 more",70 years old,5k-10k Employees (India)
214,Maersk,4.4,(1.6k Reviews),Private,Copenhagen + 20 more,118 years old,10k-50k Employees (India)
215,MRF Tyres,3.7,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,1k-5k Employees (India)
216,Torrent Pharmace...,4.1,(1.6k Reviews),Public,"Ahmedabad,Gujrat + 84 more",51 years old,5k-10k Employees (India)
217,Rivigo,3.9,(1.6k Reviews),Private,"Gurgaon,Haryana + 141 more",8 years old,1k-5k Employees (India)
218,Team Lease,4.1,(1.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 171 more",6 years old,1k-5k Employees (India)
219,Vishal Mega Mart,3.9,(1.6k Reviews),Private,"Ahmedabad,Gujrat + 224 more",14 years old,5k-10k Employees (India)
220,Conduent,3.6,(1.6k Reviews),Private,"Florham Park,New Jersey + 17 more",5 years old,5k-10k Employees (India)
221,ACC,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 161 more",86 years old,5k-10k Employees (India)
222,Capita,3.9,(1.6k Reviews),Private,"Indore,Madhya Pradesh + 16 more",17 years old,1k-5k Employees (India)
223,RSPL Group,4.1,(1.6k Reviews),Private,"Mumbai,Maharashtra + 127 more",35 years old,1k-5k Employees (India)
