,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
1220,Avalon Technolog...,3.9,(360 Reviews),Private,"Chennai,Tamil Nadu + 7 more",20 years old,501-1k Employees (India)
1221,Army Public Scho...,4.1,(360 Reviews),Private,"Delhi/NCR,New Delhi + 69 more",48 years old,5k-10k Employees (Global)
1222,Rico Auto Indust...,3.8,(359 Reviews),Public,"Gurgaon/Gurugram,Haryana + 19 more",39 years old,501-1k Employees (India)
1223,Sharda Motor Ind...,3.7,(359 Reviews),Public,"Delhi/NCR,Delhi + 22 more",36 years old,1k-5k Employees (India)
1224,ATS Infrastructu...,4.1,(359 Reviews),Private,"Noida,Uttar Pradesh + 10 more",24 years old,501-1k Employees (India)
1225,Epicenter Techno...,3.6,(358 Reviews),Private,"Mumbai,Maharashtra + 4 more",21 years old,1k-5k Employees (India)
1226,Leighton Contrac...,4.3,(357 Reviews),Private,"Mumbai,Maharashtra + 16 more",24 years old,501-1k Employees (India)
1227,Sayaji Hotels,4.3,(357 Reviews),Public,"Indore,Madhya Pradesh + 19 more",35 years old,1k-5k Employees (India)
1228,EPAM Systems,4.1,(362 Reviews),"Newtown,Pennsylvania + 9 more",29 years old,1k-5k Employees (India),
1229,Y-Axis Overseas ...,4.0,(356 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",23 years old,1k-5k Employees (India)
1230,ABC,3.9,(356 Reviews),Public,New York + 60 more,79 years old,1k-5k Employees (Global)
1231,PUMA,4.3,(356 Reviews),Private,"Herzogenaurach,Herzogenaurach + 57 more",74 years old,1k-5k Employees (India)
1232,LivSpace,3.9,(356 Reviews),"Bangalore,Karnataka + 16 more",7 years old,1k-5k Employees (India),
1233,Nityo Infotech,3.5,(355 Reviews),Private,Plainsboro New Jersey + 21 more,16 years old,501-1k Employees (India)
1234,Steel Authority ...,4.0,(355 Reviews),Public,"Delhi/NCR,Delhi + 27 more",68 years old,10k-50k Employees (India)
1235,Novotel Hotels,4.2,(355 Reviews),Private,Issy Les Moulineaux + 23 more,55 years old,1k-5k Employees (India)
1236,CreditAccess Gra...,4.4,(355 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 102 more",23 years old,10k-50k Employees (India)
1237,Wockhardt Hospit...,4.4,(355 Reviews),Private,"Mumbai,Maharashtra + 15 more",49 years old,1k-5k Employees (India)
1238,Times Group,3.9,(1.3k Reviews),Private,"Mumbai,Maharashtra + 40 more",184 years old,5k-10k Employees (India)
1239,Hilton,4.2,(448 Reviews),Private,"Mclean,Virginia + 26 more",103 years old,1k-5k Employees (India)
1240,BSCPL Infrastruc...,4.1,(353 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 30 more",50 years old,501-1k Employees (India)
1241,Al Turki Enterpr...,3.5,(353 Reviews),Private,Muscat + 7 more,17 years old,501-1k Employees (India)
1242,MALABAR GOLD AND...,4.0,(353 Reviews),Private,Kozhikode + 60 more,29 years old,501-1k Employees (India)
1243,Shaktiman Tirth ...,4.2,(353 Reviews),"Rajkot,Gujarat + 28 more",25 years old,1k-5k Employees (India),
1244,K Raheja Corp,4.2,(353 Reviews),Private,Mumbai + 15 more,15 years old,1k-5k Employees (India)
1245,Genesys Internat...,3.8,(353 Reviews),Public,"Mumbai,Maharashtra + 10 more",27 years old,1k-5k Employees (India)
1246,Franklin Templet...,4.3,(493 Reviews),Private,San Mateo + 14 more,75 years old,1k-5k Employees (India)
1247,Vijai Electrical...,3.9,(352 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 35 more",49 years old,501-1k Employees (India)
1248,Carborundum Univ...,4.1,(352 Reviews),Public,"Chennai,Tamil Nadu + 26 more",68 years old,1k-5k Employees (India)
1249,Greenply,4.2,(352 Reviews),Public,"Gurgaon/Gurugram,Haryana + 58 more",38 years old,1k-5k Employees (India)
1250,Geojit Financial...,4.0,(352 Reviews),Public,Kochi + 100 more,35 years old,1k-5k Employees (India)
1251,Merino Industrie...,3.8,(522 Reviews),"Delhi/NCR,Delhi + 37 more",54 years old,501-1k Employees (India),
1252,Fleetguard Filte...,4.1,(356 Reviews),Private,"Pune,Maharashtra + 45 more",35 years old,50k-1 Lakh Employees (India)
1253,Qualcomm,4.2,(353 Reviews),Private,"San Diego,California + 13 more",26 years old,1k-5k Employees (India)
1254,VirtusaPolaris,3.3,(351 Reviews),Private,"Colombo,Colombo + 8 more",26 years old,1k-5k Employees (India)
1255,Jaro Education,3.0,(351 Reviews),Private,"Mumbai,Maharashtra + 15 more",13 years old,501-1k Employees (India)
1256,Linde India,4.2,(351 Reviews),Public,Pullach + 33 more,143 years old,501-1k Employees (India)
